C(65,5,3) = 4368
Created by: Tung Le
Method of Construction: group theory
Lower Bound: Schonheim


  1 25 37 62 64
  1 26 31 38 57
  1 26 33 39 44
  1 26 37 47 50
  1 27 32 49 55
  1 27 34 35 36
  1 27 37 53 63
  1 27 42 61 62
  1 27 47 57 60
  1 27 48 59 65
  1 28 29 57 61
  1 28 30 48 63
  1 28 34 37 65
  1 28 39 51 54
  1 28 46 52 55
  1 29 30 32 33
  1 29 46 54 65
  1 30 34 53 59
  1 30 40 41 57
  1 30 42 43 52
  1 30 45 54 62
  1 31 32 34 42
  1 31 35 41 55
  1 31 39 49 62
  1 31 47 51 63
  1 31 52 53 60
  1 32 36 39 50
  1 32 43 59 60
  1 32 45 58 65
  1 32 48 57 64
  1 33 35 54 56
  1 33 46 58 62
  1 33 61 63 64
  1 34 39 55 61
  1 34 41 50 62
  1 35 49 50 61
  1 36 40 52 58
  1 36 41 42 49
  1 37 41 43 56
  1 37 51 52 57
  1 38 43 44 46
  1 38 50 52 63
  1 38 56 59 61
  1 40 42 51 56
  1 40 44 53 54
  1 43 47 64 65
  1 43 49 57 58
  1 45 47 48 49
  1 45 55 60 64
  1 47 55 58 59
  2  3  4 35 57
  2  3  5 37 45
  2  3  6 10 38
  2  3  7 40 58
  2  3  8 13 39
  2  3  9 31 33
  2  3 11 14 55
  2  3 12 17 64
  2  3 15 44 53
  2  3 16 48 61
  2  3 18 27 62
  2  3 19 36 42
  2  3 20 21 46
  2  3 22 32 65
  2  3 23 49 51
  2  3 24 54 59
  2  3 25 26 41
  2  3 28 29 43
  2  3 30 52 56
  2  3 47 50 60
  2  4  5 47 51
  2  4  6 54 62
  2  4  7 41 44
  2  4  8 15 58
  2  4  9 36 43
  2  4 10 48 59
  2  4 11 28 33
  2  4 12 45 60
  2  4 13 25 53
  2  4 14 29 42
  2  4 16 18 24
  2  4 17 37 49
  2  4 19 31 55
  2  4 20 30 32
  2  4 22 56 63
  2  4 23 50 64
  2  4 26 39 40
  2  4 27 38 61
  2  4 34 46 65
  2  5  6 15 29
  2  5  7 31 59
  2  5  8 14 21
  2  5  9 34 40
  2  5 10 32 44
  2  5 11 13 16
  2  5 12 23 57
  2  5 17 35 50
  2  5 18 25 56
  2  5 19 30 41
  2  5 20 48 55
  2  5 22 28 53
  2  5 24 33 63
  2  5 26 27 36
  2  5 38 43 65
  2  5 39 46 61
  2  5 42 52 62
  2  5 49 60 64
  2  6  7 36 64
  2  6  8 47 52
  2  6  9 50 56
  2  6 11 26 49
  2  6 12 19 46
  2  6 13 31 60
  2  6 16 27 59
  2  6 17 20 40
  2  6 18 35 48
  2  6 21 42 58
  2  6 22 43 44
  2  6 23 41 63
  2  6 24 57 61
  2  6 25 34 55
  2  6 28 32 37
  2  6 30 33 39
  2  6 45 53 65
  2  7  8 25 57
  2  7  9 54 63
  2  7 10 19 20
  2  7 11 27 60
  2  7 12 21 38
  2  7 13 15 26
  2  7 14 18 65
  2  7 16 29 49
  2  7 17 42 46
  2  7 22 50 62
  2  7 23 43 56
  2  7 24 34 37
  2  7 28 52 61
  2  7 30 48 51
  2  7 32 47 55
  2  7 35 39 53
  2  8  9 30 60
  2  8 10 33 50
  2  8 11 46 48
  2  8 12 18 43
  2  8 16 20 45
  2  8 17 27 63
  2  8 19 22 49
  2  8 23 59 65
  2  8 24 32 36
  2  8 26 35 44
  2  8 28 34 64
  2  8 31 38 56
  2  8 37 55 61
  2  8 40 41 53
  2  8 42 51 54
  2  9 10 13 52
  2  9 11 42 57
  2  9 12 16 32
  2  9 14 19 28
  2  9 15 18 20
  2  9 17 25 48
  2  9 21 49 53
  2  9 22 41 64
  2  9 23 44 62
  2  9 24 45 58
  2  9 26 61 65
  2  9 27 46 51
  2  9 29 35 55
  2  9 38 39 47
  2 10 11 23 34
  2 10 12 40 42
  2 10 14 26 63
  2 10 15 28 65
  2 10 16 57 62
  2 10 17 21 36
  2 10 18 54 61
  2 10 22 29 45
  2 10 24 27 35
  2 10 30 31 47
  2 10 37 43 53
  2 10 39 56 60
  2 10 41 51 55
  2 10 46 58 64
  2 11 12 44 52
  2 11 15 59 64
  2 11 17 30 54
  2 11 18 22 47
  2 11 19 35 43
  2 11 20 37 39
  2 11 21 45 61
  2 11 24 53 56
  2 11 25 51 63
  2 11 29 31 36
  2 11 32 40 62
  2 11 50 58 65
  2 12 13 34 62
  2 12 14 56 59
  2 12 15 24 30
  2 12 20 36 58
  2 12 22 26 48
  2 12 25 31 65
  2 12 29 39 63
  2 12 33 41 61
  2 12 35 47 49
  2 12 37 50 51
  2 12 53 54 55
  2 13 14 20 61
  2 13 18 28 63
  2 13 19 54 65
  2 13 21 37 48
  2 13 22 24 51
  2 13 23 32 42
  2 13 27 29 64
  2 13 30 38 50
  2 13 33 47 56
  2 13 35 41 58
  2 13 36 49 59
  2 13 40 44 57
  2 13 45 46 55
  2 14 15 52 54
  2 14 16 37 46
  2 14 17 24 44
  2 14 22 40 60
  2 14 23 25 38
  2 14 27 32 50
  2 14 30 53 64
  2 14 31 43 57
  2 14 33 35 36
  2 14 34 41 49
  2 14 39 45 48
  2 14 47 58 62
  2 15 16 36 60
  2 15 17 55 56
  2 15 19 61 63
  2 15 21 51 62
  2 15 22 37 38
  2 15 23 33 46
  2 15 25 35 40
  2 15 27 31 49
  2 15 32 43 45
  2 15 34 48 50
  2 15 39 41 57
  2 16 17 41 65
  2 16 21 39 55
  2 16 22 25 33
  2 16 23 40 52
  2 16 26 31 64
  2 16 28 51 56
  2 16 30 43 58
  2 16 34 42 44
  2 16 35 38 54
  2 16 47 53 63
  2 17 18 29 34
  2 17 19 38 58
  2 17 22 31 61
  2 17 23 45 47
  2 17 26 32 33
  2 17 28 39 62
  2 17 51 57 60
  2 17 52 53 59
  2 18 19 26 52
  2 18 21 23 31
  2 18 30 36 45
  2 18 32 58 60
  2 18 33 51 53
  2 18 37 41 42
  2 18 38 57 59
  2 18 40 50 55
  2 18 44 46 49
  2 19 21 40 64
  2 19 23 24 39
  2 19 25 45 62
  2 19 27 37 56
  2 19 29 33 57
  2 19 32 51 59
  2 19 34 53 60
  2 19 44 47 48
  2 20 23 27 53
  2 20 24 43 60
  2 20 25 29 50
  2 20 26 28 54
  2 20 31 44 51
  2 20 33 49 62
  2 20 34 35 56
  2 20 38 42 64
  2 20 41 47 59
  2 20 52 63 65
  2 21 22 30 34
  2 21 24 26 50
  2 21 25 43 59
  2 21 27 33 44
  2 21 28 41 60
  2 21 29 47 54
  2 21 32 35 63
  2 21 56 57 65
  2 22 23 36 54
  2 22 27 55 58
  2 22 35 46 52
  2 22 39 42 59
  2 23 28 48 58
  2 23 29 30 61
  2 23 35 37 60
  2 24 25 28 47
  2 24 29 41 46
  2 24 38 48 62
  2 24 42 49 65
  2 24 52 55 64
  2 25 27 30 42
  2 25 32 61 64
  2 25 36 37 52
  2 25 39 44 58
  2 25 46 54 60
  2 26 29 59 60
  2 26 30 37 62
  2 26 34 38 51
  2 26 42 45 56
  2 26 43 46 47
  2 26 53 57 58
  2 27 34 39 43
  2 27 40 47 65
  2 27 41 45 52
  2 27 48 54 57
  2 28 30 40 49
  2 28 31 35 42
  2 28 36 55 57
  2 28 38 44 45
  2 28 46 50 59
  2 29 32 38 53
  2 29 37 44 65
  2 29 40 48 56
  2 29 51 52 58
  2 30 44 55 59
  2 30 46 57 63
  2 31 32 41 48
  2 31 34 45 54
  2 31 37 58 63
  2 31 39 50 52
  2 31 46 53 62
  2 32 34 52 57
  2 32 39 49 54
  2 33 34 58 59
  2 33 37 40 54
  2 33 38 52 60
  2 33 42 43 55
  2 33 48 64 65
  2 34 36 47 61
  2 35 45 51 64
  2 35 59 61 62
  2 36 38 40 46
  2 36 39 51 65
  2 36 41 56 62
  2 36 44 50 63
  2 37 47 57 64
  2 38 49 55 63
  2 40 43 51 61
  2 40 45 59 63
  2 41 43 50 54
  2 42 48 60 63
  2 42 50 53 61
  2 43 48 49 52
  2 43 62 63 64
  2 44 54 56 64
  2 45 49 50 57
  2 49 56 58 61
  2 55 60 62 65
  3  4  5 61 63
  3  4  6  8 32
  3  4  7 18 36
  3  4  9 21 24
  3  4 10 11 13
  3  4 12 33 59
  3  4 14 22 38
  3  4 15 30 50
  3  4 17 31 46
  3  4 19 40 49
  3  4 20 54 64
  3  4 23 58 62
  3  4 25 45 48
  3  4 26 34 37
  3  4 27 42 51
  3  4 28 53 60
  3  4 29 47 56
  3  4 39 55 65
  3  4 43 44 52
  3  5  6 23 56
  3  5  7 14 64
  3  5  8 59 62
  3  5  9 19 65
  3  5 10 46 51
  3  5 11 17 28
  3  5 12 29 58
  3  5 13 27 53
  3  5 15 18 54
  3  5 16 26 35
  3  5 20 30 38
  3  5 21 49 52
  3  5 22 36 50
  3  5 24 39 44
  3  5 31 42 60
  3  5 32 33 47
  3  5 34 41 48
  3  5 40 43 55
  3  6  7 31 44
  3  6  9 15 16
  3  6 11 35 65
  3  6 12 47 62
  3  6 13 22 55
  3  6 14 39 57
  3  6 17 18 26
  3  6 19 28 54
  3  6 20 45 49
  3  6 21 30 51
  3  6 25 60 64
  3  6 27 41 50
  3  6 29 59 63
  3  6 33 58 61
  3  6 34 36 43
  3  6 37 46 52
  3  6 40 48 53
  3  7  8 34 46
  3  7  9 10 48
  3  7 11 29 45
  3  7 12 28 55
  3  7 13 21 47
  3  7 15 38 61
  3  7 16 33 53
  3  7 17 37 43
  3  7 19 51 62
  3  7 20 50 63
  3  7 22 30 54
  3  7 23 42 57
  3  7 24 25 56
  3  7 26 32 52
  3  7 27 35 49
  3  7 41 59 65
  3  8  9 41 51
  3  8 10 14 65
  3  8 11 22 57
  3  8 12 56 61
  3  8 15 24 27
  3  8 16 30 42
  3  8 17 36 52
  3  8 18 37 44
  3  8 19 48 64
  3  8 20 40 60
  3  8 23 29 33
  3  8 25 28 49
  3  8 26 31 43
  3  8 35 38 55
  3  8 45 53 54
  3  8 47 58 63
  3  9 11 18 56
  3  9 12 20 57
  3  9 13 25 29
  3  9 14 34 62
  3  9 17 35 54
  3  9 22 37 60
  3  9 23 26 28
  3  9 32 42 50
  3  9 36 45 47
  3  9 38 53 58
  3  9 39 43 49
  3  9 40 44 61
  3  9 46 59 64
  3  9 52 55 63
  3 10 12 26 50
  3 10 15 33 40
  3 10 16 44 58
  3 10 17 27 60
  3 10 18 25 47
  3 10 19 34 59
  3 10 20 23 52
  3 10 21 45 56
  3 10 22 35 39
  3 10 24 29 36
  3 10 28 42 63
  3 10 30 37 49
  3 10 31 53 61
  3 10 32 55 57
  3 10 41 62 64
  3 11 12 37 40
  3 11 15 19 26
  3 11 16 23 54
  3 11 20 41 44
  3 11 21 25 36
  3 11 24 47 48
  3 11 27 31 63
  3 11 30 33 34
  3 11 32 38 39
  3 11 42 46 53
  3 11 43 58 64
  3 11 49 50 59
  3 11 51 60 61
  3 12 13 19 30
  3 12 14 43 45
  3 12 15 34 49
  3 12 16 36 39
  3 12 18 41 60
  3 12 21 31 54
  3 12 22 44 51
  3 12 23 32 63
  3 12 24 35 46
  3 12 25 27 38
  3 12 42 48 52
  3 13 14 32 35
  3 13 15 37 59
  3 13 16 52 64
  3 13 17 42 61
  3 13 18 24 45
  3 13 23 41 43
  3 13 26 33 49
  3 13 28 31 51
  3 13 34 40 50
  3 13 36 48 56
  3 13 38 57 65
  3 13 44 54 62
  3 13 46 60 63
  3 14 15 20 36
  3 14 16 47 49
  3 14 17 29 40
  3 14 18 30 63
  3 14 19 41 46
  3 14 21 26 53
  3 14 23 24 60
  3 14 25 42 44
  3 14 27 33 52
  3 14 28 37 58
  3 14 48 51 59
  3 14 50 54 61
  3 15 17 23 65
  3 15 21 41 42
  3 15 22 63 64
  3 15 25 46 55
  3 15 28 35 56
  3 15 29 52 60
  3 15 31 48 58
  3 15 39 45 62
  3 15 43 47 57
  3 16 17 19 56
  3 16 18 28 65
  3 16 20 43 62
  3 16 21 27 32
  3 16 22 29 46
  3 16 24 50 51
  3 16 25 37 63
  3 16 31 38 40
  3 16 34 45 57
  3 16 55 59 60
  3 17 20 24 33
  3 17 21 57 59
  3 17 25 50 62
  3 17 30 39 48
  3 17 32 34 44
  3 17 38 41 47
  3 17 45 55 58
  3 17 51 53 63
  3 18 19 23 35
  3 18 20 22 61
  3 18 21 29 48
  3 18 31 34 52
  3 18 32 43 46
  3 18 38 50 64
  3 18 39 53 59
  3 18 40 51 57
  3 18 42 49 58
  3 19 20 25 53
  3 19 21 44 55
  3 19 22 31 47
  3 19 24 43 63
  3 19 27 57 58
  3 19 32 45 60
  3 19 33 37 50
  3 19 39 52 61
  3 20 26 42 55
  3 20 27 29 65
  3 20 28 32 48
  3 20 31 35 59
  3 20 34 39 47
  3 20 37 51 56
  3 21 22 28 62
  3 21 23 37 38
  3 21 33 35 64
  3 21 34 58 60
  3 21 39 40 63
  3 21 43 61 65
  3 22 23 34 53
  3 22 24 26 58
  3 22 25 52 59
  3 22 27 43 48
  3 22 33 42 45
  3 22 40 41 56
  3 23 25 31 39
  3 23 27 36 40
  3 23 30 45 46
  3 23 47 59 61
  3 23 48 50 55
  3 24 28 34 38
  3 24 30 32 41
  3 24 31 57 64
  3 24 37 53 62
  3 24 40 52 65
  3 24 49 55 61
  3 25 30 58 65
  3 25 32 40 54
  3 25 33 43 51
  3 25 34 35 61
  3 26 27 47 64
  3 26 29 39 51
  3 26 30 40 59
  3 26 36 44 46
  3 26 38 60 62
  3 26 48 57 63
  3 26 54 56 65
  3 27 28 46 61
  3 27 34 55 56
  3 27 37 39 54
  3 27 44 45 59
  3 28 30 44 47
  3 28 33 39 41
  3 28 40 45 64
  3 28 50 52 57
  3 29 30 53 57
